rank,objective,spearman_score_vs_target,pearson_score_vs_target,top_bucket_target_mean,bottom_bucket_target_mean,top_bottom_spread,complexity_penalty,concentration_penalty,max_weight,weight_entropy,effective_n_features,n_features,features,weights
1,0.7460968229705,0.9949721208444748,0.9953125779556572,0.7735569498069497,0.24324806949806957,0.5303088803088801,0.0,0.0,0.4169440536971588,1.076885179986398,2.876694734283566,3,rank__profit_factor_oos|rank__trade_count_total|rank__expectancy_oos,0.41694405|0.24792917|0.33512678
2,0.7459540124634465,0.9959347486703692,0.9952547720503122,0.7751785714285714,0.2416409266409267,0.5335376447876446,0.0,0.033491175658699884,0.5169823513173998,0.9629114471383808,2.4175159497606296,3,rank__profit_factor_oos|rank__trade_count_oos|rank__net_profit_oos,0.36341855|0.11959910|0.51698235
3,0.7448818111576134,0.9920990470256514,0.9920265481556122,0.7738272200772202,0.2427944015444016,0.5310328185328186,0.0,0.0,0.37708030129803266,1.3091150499274586,3.4697945644252677,4,rank__trades_per_month|rank__expectancy_oos|rank__profit_factor_oos|rank__net_profit_oos,0.15997186|0.37708030|0.15004726|0.31290057
4,0.7442229089248135,0.9923360015674101,0.9926435751966508,0.7740106177606176,0.2437644787644788,0.5302461389961388,0.0,0.012164385440381231,0.4743287708807625,1.005639462300158,2.571583335118757,3,rank__profit_factor_oos|rank__trade_count_is|rank__net_profit_oos,0.47432877|0.14945003|0.37622120
5,0.7433560498292562,0.9896850726314855,0.9917546913020373,0.7737982625482624,0.2410231660231661,0.5327750965250964,0.015,0.0,0.39733574834375884,1.4622519862080845,3.825731743742678,5,rank__net_profit_oos|rank__trade_count_is|rank__profit_factor_oos|rank__trade_count_oos|rank__expectancy_oos,0.06884617|0.15575345|0.39733575|0.15000130|0.22806334
6,0.7433371498616403,0.9907365584105394,0.9923534256926616,0.77382722007722,0.2432480694980695,0.5305791505791505,0.015,0.0,0.3313322091284923,1.4332679145882918,3.7946468810967158,5,rank__trade_count_oos|rank__trades_per_month|rank__net_profit_oos|rank__profit_factor_oos|rank__expectancy_oos,0.04235102|0.15818972|0.32722746|0.14089959|0.33133221
7,0.7432358835033348,0.9906773197750998,0.9923828443968694,0.7738272200772202,0.2432480694980695,0.5305791505791506,0.0,0.01643294081171609,0.4828658816234322,1.0197847382631835,2.6130591098469456,3,rank__expectancy_oos|rank__profit_factor_oos|rank__trades_per_month,0.48286588|0.34750499|0.16962913
8,0.7411233381814766,0.9875821010733777,0.9868170259834483,0.7738272200772202,0.2427944015444016,0.5310328185328186,0.03,0.0,0.3061057980187417,1.6171769824165994,4.40904659631577,6,rank__active_months|rank__avg_win_total|rank__profit_factor_oos|rank__trade_count_total|rank__net_profit_oos|rank__expectancy_oos,0.06593381|0.08003363|0.30218390|0.10233965|0.14340322|0.30610580
9,0.740292723849412,0.9846645982779745,0.9869803206795331,0.7705405405405407,0.2410231660231661,0.5295173745173746,0.0,0.0,0.37284920331347726,1.093771160360366,2.9713486364398523,3,rank__trade_count_oos|rank__net_profit_oos|rank__profit_factor_oos,0.29269567|0.33445512|0.37284920
10,0.7398834031553343,0.987685768685397,0.9864762933689286,0.7735569498069498,0.24370173745173745,0.5298552123552123,0.0,0.04913653494419376,0.5482730698883875,1.1739994464305088,2.6902663366906903,4,rank__trade_count_is|rank__net_profit_oos|rank__profit_factor_is|rank__profit_factor_oos,0.16237914|0.54827307|0.10673320|0.18261459
11,0.7398147309662846,0.9869156664246815,0.9881440926198043,0.7705405405405407,0.2410231660231661,0.5295173745173746,0.0,0.032070539129617354,0.5141410782592347,1.029452211943693,2.6150428767651386,3,rank__profit_factor_oos|rank__trade_count_oos|rank__net_profit_oos,0.23890370|0.24695522|0.51414108
12,0.739727232938014,0.9838352573818194,0.984856733178585,0.7738272200772202,0.24388513513513518,0.529942084942085,0.015,0.0,0.3746472198504784,1.402072155108822,3.5411473034107788,5,rank__expectancy_oos|rank__net_profit_total|rank__trade_count_is|rank__profit_factor_oos|rank__win_rate_total,0.37464722|0.11507477|0.11454320|0.33455765|0.06117716
13,0.738857200222351,0.9861159448462462,0.9866398386260848,0.7738272200772202,0.24592664092664096,0.5279005791505792,0.045,0.0,0.34507774377256994,1.5700895972104159,3.90715450745487,7,rank__trade_count_total|rank__trade_count_is|rank__profit_factor_oos|rank__net_profit_oos|rank__profit_factor_is|rank__expectancy_oos|rank__net_profit_total,0.07151372|0.02792581|0.33022877|0.34507774|0.06936929|0.12771616|0.02816850
14,0.7351541699916057,0.9756751353500067,0.9808339974321212,0.7735569498069498,0.24542471042471045,0.5281322393822393,0.015,0.0,0.310941536403003,1.469093668003131,4.1001719726864705,5,rank__profit_factor_total|rank__profit_factor_oos|rank__trades_per_month|rank__trade_count_total|rank__net_profit_oos,0.16930397|0.24151885|0.03542394|0.24281171|0.31094154
15,0.7348115058989416,0.9756751353500067,0.974027268941903,0.7694739382239382,0.2432625482625483,0.5262113899613898,0.0,0.0,0.4028173262899533,1.2761357819572552,3.326374381939723,4,rank__expectancy_oos|rank__profit_factor_is|rank__trade_count_total|rank__net_profit_oos,0.40281733|0.09143573|0.22035163|0.28539531
16,0.7344627459841617,0.9762527120455433,0.9662242598537013,0.772118725868726,0.24404440154440157,0.5280743243243244,0.03,0.0,0.33215294449947624,1.6443397234055432,4.56763182557321,6,rank__win_rate_is|rank__profit_factor_total|rank__expectancy_oos|rank__net_profit_oos|rank__avg_loss_total|rank__trade_count_total,0.08488526|0.08994511|0.24602014|0.33215294|0.15727006|0.08972649
17,0.7342323673276372,0.9767562404467804,0.9822096997231156,0.7689189189189188,0.24685328185328195,0.5220656370656369,0.0,0.0,0.3420293166604099,1.2158907802345826,3.2085041127542455,4,rank__expectancy_oos|rank__profit_factor_is|rank__profit_factor_oos|rank__trade_count_is,0.28560102|0.03821500|0.34202932|0.33415467
18,0.733711979591415,0.9727280132368837,0.9748499622424935,0.7738272200772202,0.24273166023166026,0.5310955598455599,0.03,0.0,0.2251504337390929,1.733261340580582,5.462699252133814,6,rank__win_rate_total|rank__expectancy_oos|rank__trade_count_oos|rank__profit_factor_oos|rank__profit_factor_total|rank__net_profit_oos,0.06152189|0.16206824|0.18960430|0.15881734|0.20283780|0.22515043
19,0.7333231266975216,0.9745940302532329,0.9756687813177655,0.7697393822393822,0.24164092664092665,0.5280984555984556,0.0,0.02918819329232089,0.5083763865846418,0.9041490062229921,2.2873692500026626,3,rank__expectancy_oos|rank__profit_factor_oos|rank__trades_per_month,0.50837639|0.41594414|0.07567948
20,0.7332206574046198,0.970091893959819,0.9713829686732622,0.77382722007722,0.24542471042471045,0.5284025096525096,0.0,0.0,0.43099861310950727,1.2779248256458735,3.280119858000637,4,rank__profit_factor_oos|rank__trade_count_oos|rank__expectancy_oos|rank__expectancy_total,0.43099861|0.19532969|0.11220962|0.26146207
21,0.732383719765938,0.9802513199377202,0.976806306889968,0.77382722007722,0.24102316602316606,0.532804054054054,0.0,0.14034073456037252,0.730681469120745,0.7310567264657195,1.72427690855905,3,rank__expectancy_oos|rank__trade_count_oos|rank__active_months,0.73068147|0.20462928|0.06468925
22,0.7323614971140784,0.9706102320199159,0.9701424488996978,0.7726592664092664,0.2460086872586873,0.5266505791505791,0.0,0.010103072898286908,0.4702061457965738,0.9883845076657197,2.5191623576354027,3,rank__net_profit_oos|rank__profit_factor_oos|rank__avg_win_total,0.39816876|0.47020615|0.13162510
23,0.7322478730404087,0.9727872518723234,0.9757747448934301,0.768918918918919,0.24685328185328195,0.522065637065637,0.0,0.0,0.343692493851413,1.2128410154453755,3.20163150293816,4,rank__profit_factor_oos|rank__expectancy_oos|rank__trades_per_month|rank__trade_count_oos,0.33063780|0.28905785|0.34369249|0.03661185
24,0.7322421672476374,0.9709804734914138,0.9770006889155954,0.768918918918919,0.24326254826254834,0.5256563706563706,0.0,0.0,0.4284270088805813,1.307980553365979,3.4068798866235173,4,rank__profit_factor_oos|rank__trade_count_is|rank__net_profit_oos|rank__active_months,0.18968542|0.21412119|0.42842701|0.16776638
25,0.7320606400770854,0.9739127859456768,0.975576875781423,0.7689189189189188,0.24685328185328187,0.5220656370656369,0.015,0.0,0.33813539988900587,1.4855524518539105,4.097595551104618,5,rank__profit_factor_oos|rank__expectancy_oos|rank__payoff_ratio_total|rank__trade_count_total|rank__net_profit_oos,0.24738850|0.16427265|0.05360853|0.33813540|0.19659492
26,0.7319284289811456,0.9734833058387392,0.9734378650895092,0.7735569498069498,0.24794401544401548,0.5256129343629343,0.045,0.0,0.2645569595638973,1.823635409962421,5.665864412332236,7,rank__active_months|rank__expectancy_oos|rank__profit_factor_oos|rank__trade_count_is|rank__win_rate_is|rank__net_profit_total|rank__trade_count_total,0.10730002|0.20963320|0.26455696|0.03882036|0.09556353|0.13744587|0.14668006
27,0.7319184772798973,0.9709508541736941,0.9699900413687729,0.7738272200772202,0.24635135135135136,0.5274758687258688,0.03,0.0,0.20839821707619782,1.7710375908845264,5.76697630120335,6,rank__win_rate_oos|rank__profit_factor_oos|rank__active_months|rank__expectancy_oos|rank__expectancy_total|rank__trade_count_total,0.11455603|0.19883762|0.18612049|0.20839822|0.14345913|0.14862852
28,0.7316939591617441,0.9755862773968471,0.9718848983744737,0.7673166023166023,0.24310328185328192,0.5242133204633204,0.045,0.0,0.32338182381683755,1.585309774167532,4.159563987587546,7,rank__win_rate_oos|rank__trade_count_oos|rank__net_profit_is|rank__profit_factor_oos|rank__profit_factor_total|rank__win_rate_total|rank__expectancy_oos,0.16816143|0.11615653|0.05068645|0.32338182|0.02191497|0.01858659|0.30111221
29,0.7306355250026731,0.9684332121675087,0.967232679036105,0.7735569498069498,0.249015444015444,0.5245415057915057,0.015,0.0,0.3553552114479689,1.4757152679168035,3.976683537190287,5,rank__profit_factor_oos|rank__win_rate_is|rank__net_profit_total|rank__expectancy_oos|rank__trades_per_month,0.35535521|0.08326435|0.23261664|0.09331072|0.23545308
30,0.7304678165160805,0.970269609866138,0.9659236447535778,0.7690202702702704,0.24610038610038615,0.5229198841698843,0.015,0.0,0.32729901254413096,1.5318544482960132,4.319903678928217,5,rank__net_profit_oos|rank__expectancy_oos|rank__trade_count_oos|rank__active_months|rank__avg_loss_total,0.24708488|0.32729901|0.13751532|0.10597438|0.18212641
31,0.7300970726740144,0.9647752264291098,0.9644168158754403,0.7735569498069497,0.24685328185328184,0.5267036679536679,0.0,0.0,0.42981426584057947,1.0655423017167214,2.819919966647337,3,rank__expectancy_total|rank__profit_factor_oos|rank__trade_count_total,0.22457921|0.42981427|0.34560652
32,0.7296864094341837,0.971454382574931,0.9724015314136636,0.766076254826255,0.24388513513513513,0.5221911196911199,0.03,0.0,0.36354196270906847,1.5653467085597499,4.126128913680462,6,rank__avg_win_total|rank__trade_count_is|rank__net_profit_oos|rank__profit_factor_total|rank__expectancy_oos|rank__win_rate_oos,0.05559030|0.13181485|0.25601844|0.14921035|0.36354196|0.04382410
33,0.7296635875693537,0.9676186809302132,0.9732013015827304,0.768918918918919,0.24685328185328195,0.522065637065637,0.0,0.0,0.396500609232973,1.0802459264009134,2.897691245345751,3,rank__profit_factor_oos|rank__trades_per_month|rank__net_profit_oos,0.39650061|0.35552627|0.24797312
34,0.7284679579475785,0.9681222093314503,0.9658258008729548,0.7684362934362934,0.2488706563706564,0.519565637065637,0.015,0.0,0.3463544987679257,1.5008651628695395,4.153855546774084,5,rank__payoff_ratio_total|rank__net_profit_total|rank__profit_factor_oos|rank__trade_count_total|rank__win_rate_oos,0.06506978|0.21799833|0.34635450|0.17191691|0.19866048
35,0.7284505466333336,0.966108095726502,0.9670805399219865,0.7735569498069497,0.249015444015444,0.5245415057915057,0.015,0.02044840297672537,0.49089680595345075,1.389255687252127,3.245509875998552,5,rank__trade_count_is|rank__expectancy_total|rank__trade_count_oos|rank__net_profit_is|rank__profit_factor_oos,0.15800999|0.13628558|0.12362491|0.09118271|0.49089681
36,0.7284207798244762,0.9711137604211532,0.971467500061874,0.7669256756756757,0.2526254826254827,0.514300193050193,0.015,0.0,0.33773480922880095,1.4642575575740686,3.902546509051608,5,rank__net_profit_is|rank__win_rate_oos|rank__trade_count_is|rank__payoff_ratio_total|rank__expectancy_oos,0.07361668|0.30991525|0.10882855|0.16990472|0.33773481
